latitude,longitude,resolved_locality
23.852706,90.357259,Mirpur Cantonment
23.91855,90.26076,Savar Cantonment
23.880673,90.273392,Bishmile
23.92115,90.26116,Savar Cantonment
23.836635,90.36522,Mirpur Cantonment
23.86612,90.28543,
23.8675,90.3711,Diabari
23.842559,90.365607,Mirpur Cantonment
23.85441,90.360866,Diabari
23.8378,90.3706,Mirpur Cantonment
23.838508,90.365721,Mirpur Cantonment
23.8711,90.3911,Uttara
23.85587,90.35495,Mirpur Cantonment
23.8352,90.4158,Khilkhet
23.835,90.4162,Khilkhet
23.832649,90.417613,Khilkhet
23.824684,90.431158,Bashundhara Residential Area
23.835419,90.41842,Khilkhet
23.819993,90.426921,Kuril
23.835484,90.415596,Khilkhet
23.82571,90.4341,Bashundhara Residential Area
23.8242,90.4308,Bashundhara Residential Area
23.82022,90.42831,Kuril
23.8174,90.4354,Bashundhara Residential Area
23.81788,90.426816,Kuril
23.81467,90.41476,Joar Sahara
23.82128,90.429071,Kuril
23.8363,90.4177,Khilkhet
23.8205,90.4273,Kuril
23.8211,90.43259,Bashundhara Residential Area
23.82018,90.43068,Bashundhara Residential Area
23.8165,90.4294,Kuril
23.81886,90.42657,Kuril
23.8212,90.4381,Bashundhara Residential Area
23.8352,90.416,Khilkhet
23.81526,90.41492,Joar Sahara
23.817513,90.426421,Kuril
23.821779,90.428857,Kuril
23.815293,90.414376,Joar Sahara
23.8257,90.4314,Bashundhara Residential Area
23.820433,90.434592,Bashundhara Residential Area
23.818903,90.427514,Kuril
23.86289,90.38672,Uttara
23.81401,90.41527,Joar Sahara
23.82185,90.434322,Bashundhara Residential Area
23.82059,90.42868,Kuril
23.818526,90.428281,Kuril
23.8123,90.4283,Solmaid
23.818712,90.426786,Kuril
23.863269,90.386817,Uttara
23.8241,90.4323,Bashundhara Residential Area
23.8641,90.3965,Uttara
23.81516,90.41351,Joar Sahara
23.824928,90.428907,Solmaid
23.819559,90.428287,Kuril
23.81915,90.43068,Bashundhara Residential Area
