location,listing_link,base_urls
Gulshan,https://www.airbnb.com/rooms/964302296707829098?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3ORDQJ7JnHaUQfn&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/964302296707829098
Gulshan,https://www.airbnb.com/rooms/1017443914573451553?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718222806_P3v4XY437hR1OTTM&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1017443914573451553
Gulshan,https://www.airbnb.com/rooms/664452521590068735?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-02&check_out=2024-07-07&source_impression_id=p3_1718222806_P3-XMex4MKf1TRkV&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/664452521590068735
Gulshan,https://www.airbnb.com/rooms/589661626616341136?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222806_P3uKTjTvc3mhbpEQ&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/589661626616341136
Gulshan,https://www.airbnb.com/rooms/1095594159480544386?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3N4YEysCMX1AZ7a&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1095594159480544386
Gulshan,https://www.airbnb.com/rooms/1160671544926633566?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222808_P3tFBg9cFzYMZ8yk&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/1160671544926633566
Gulshan,https://www.airbnb.com/rooms/4517316?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222809_P3ITN0XC68ZIivG4&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/4517316
Gulshan,https://www.airbnb.com/rooms/1175997657474551785?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222809_P3qHbflRzhTcZ7mE&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/1175997657474551785
Gulshan,https://www.airbnb.com/rooms/1165969395402409267?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718222809_P3BL8laVYod-i-9q&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/1165969395402409267
Gulshan,https://www.airbnb.com/rooms/1113528352201351249?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1862412029&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222809_P3q9vXEEy2ZjuOI4&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/1113528352201351249
