listing_link,base_urls,listing_title,principalSubdivision,localityName_unresolved,latitude,longitude,map_link
https://www.airbnb.com/rooms/636494585340572648?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3Z6JNqn5KU4BoHc&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/636494585340572648,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8159,90.1252,"https://www.google.com/maps?q=21.8159,90.1252"
https://www.airbnb.com/rooms/637968523420035101?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P34_J_KXLazEuuv4&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/637968523420035101,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8187,90.121,"https://www.google.com/maps?q=21.8187,90.121"
https://www.airbnb.com/rooms/647691301558370319?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3KwPxyZt0MmsCiz&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647691301558370319,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8156,90.1379,"https://www.google.com/maps?q=21.8156,90.1379"
https://www.airbnb.com/rooms/637959111045047008?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3ozxyAu8M22UQfn&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/637959111045047008,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8187,90.121,"https://www.google.com/maps?q=21.8187,90.121"
https://www.airbnb.com/rooms/637960696986882603?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3T_K-SZ7fS0dSfv&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/637960696986882603,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8187,90.121,"https://www.google.com/maps?q=21.8187,90.121"
https://www.airbnb.com/rooms/647694390893009326?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3-9vMbVxHOouHIy&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647694390893009326,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8153,90.1379,"https://www.google.com/maps?q=21.8153,90.1379"
https://www.airbnb.com/rooms/636550148188676215?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3FgLJjf2TFsusYu&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/636550148188676215,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8158,90.1253,"https://www.google.com/maps?q=21.8158,90.1253"
https://www.airbnb.com/rooms/647697114546083876?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3HQKthWHlkYogkp&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647697114546083876,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8156,90.1385,"https://www.google.com/maps?q=21.8156,90.1385"
https://www.airbnb.com/rooms/637950929924254583?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3ABS9BXDHefNhzq&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/637950929924254583,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8185,90.1211,"https://www.google.com/maps?q=21.8185,90.1211"
https://www.airbnb.com/rooms/637948858490040587?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3efmGf0YubenMD2&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/637948858490040587,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8187,90.121,"https://www.google.com/maps?q=21.8187,90.121"
https://www.airbnb.com/rooms/636546653557064123?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221295_P3yNCEYhEve-rATA&previous_page_section_name=1000&federated_search_id=b45a926f-4270-4d5c-97b4-f99c07b0a3ab,https://www.airbnb.com/rooms/636546653557064123,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8157,90.1253,"https://www.google.com/maps?q=21.8157,90.1253"
https://www.airbnb.com/rooms/663032046372621623?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221295_P3D22OQBEmu-7kv_&previous_page_section_name=1000&federated_search_id=b45a926f-4270-4d5c-97b4-f99c07b0a3ab,https://www.airbnb.com/rooms/663032046372621623,Boutique Hotel In Barisal Division ,Barisal Division,Kalapara,21.8166,90.1239,"https://www.google.com/maps?q=21.8166,90.1239"
https://www.airbnb.com/rooms/637955657337501011?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221295_P3MF6miBrgLPW65Q&previous_page_section_name=1000&federated_search_id=b45a926f-4270-4d5c-97b4-f99c07b0a3ab,https://www.airbnb.com/rooms/637955657337501011,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8187,90.121,"https://www.google.com/maps?q=21.8187,90.121"
https://www.airbnb.com/rooms/647679299938080788?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221295_P3CPCrW67GBpoBVM&previous_page_section_name=1000&federated_search_id=b45a926f-4270-4d5c-97b4-f99c07b0a3ab,https://www.airbnb.com/rooms/647679299938080788,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8156,90.1379,"https://www.google.com/maps?q=21.8156,90.1379"
https://www.airbnb.com/rooms/663038304213075538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221295_P3yPEvyW7hjQa4TB&previous_page_section_name=1000&federated_search_id=b45a926f-4270-4d5c-97b4-f99c07b0a3ab,https://www.airbnb.com/rooms/663038304213075538,Boutique Hotel In Barisal Division ,Barisal Division,Kalapara,21.8167,90.1239,"https://www.google.com/maps?q=21.8167,90.1239"
https://www.airbnb.com/rooms/637940546095472759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221295_P3SY5jUH00DqX4Zt&previous_page_section_name=1000&federated_search_id=b45a926f-4270-4d5c-97b4-f99c07b0a3ab,https://www.airbnb.com/rooms/637940546095472759,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8187,90.121,"https://www.google.com/maps?q=21.8187,90.121"
https://www.airbnb.com/rooms/966278176786631570?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718221299_P38hlg0ysfDp76Nw&previous_page_section_name=1000&federated_search_id=f26a2cd2-7e17-4722-a448-29eebcb4c611,https://www.airbnb.com/rooms/966278176786631570,Home In Pirojpur Pourashava ,Barisal Division,Pirojpur,22.5793,89.9763,"https://www.google.com/maps?q=22.5793,89.9763"
https://www.airbnb.com/rooms/50623777?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-29&check_out=2024-08-03&source_impression_id=p3_1718221299_P32KwZNh2uTXrv89&previous_page_section_name=1000&federated_search_id=f26a2cd2-7e17-4722-a448-29eebcb4c611,https://www.airbnb.com/rooms/50623777,Villa In Swarupkathi ,Barisal Division,Nesarabad Upazila,22.74146,90.10266,"https://www.google.com/maps?q=22.74146,90.10266"
https://www.airbnb.com/rooms/52017203?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221299_P34gfXZouhc-PK7D&previous_page_section_name=1000&federated_search_id=f26a2cd2-7e17-4722-a448-29eebcb4c611,https://www.airbnb.com/rooms/52017203,Home In Bagerhat District ,Khulna Division,Morrelgonj,22.535523,89.868471,"https://www.google.com/maps?q=22.535523,89.868471"
https://www.airbnb.com/rooms/39170133?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221299_P3XAyaFKv3wi_CuO&previous_page_section_name=1000&federated_search_id=f26a2cd2-7e17-4722-a448-29eebcb4c611,https://www.airbnb.com/rooms/39170133,Hotel In Barguna ,Barisal Division,Barguna,22.15782,90.11258,"https://www.google.com/maps?q=22.15782,90.11258"
https://www.airbnb.com/rooms/48797464?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3tIwEE4Sys05MDT&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,https://www.airbnb.com/rooms/48797464,Rental Unit In Faridpur ,Dhaka Division,Faridpur,23.61518,89.84575,"https://www.google.com/maps?q=23.61518,89.84575"
https://www.airbnb.com/rooms/29948496?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-20&source_impression_id=p3_1718221303_P39hNkxzDxzEhJP1&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,https://www.airbnb.com/rooms/29948496,Home In Faridpur Sadar Upazila ,Dhaka Division,Faridpur,23.62313,89.81609,"https://www.google.com/maps?q=23.62313,89.81609"
https://www.airbnb.com/rooms/728409960432360540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-20&check_out=2024-06-25&source_impression_id=p3_1718221303_P3tcG9uGiFMhlIJW&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,https://www.airbnb.com/rooms/728409960432360540,Villa In ফরিদপুর জেলা ,Dhaka Division,Faridpur,23.57574,89.79318,"https://www.google.com/maps?q=23.57574,89.79318"
https://www.airbnb.com/rooms/879652912248918634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3zWOYD4lufg1EsH&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,https://www.airbnb.com/rooms/879652912248918634,Home In Sylhet ,Dhaka Division,Mirzapur,24.0602,90.0231,"https://www.google.com/maps?q=24.0602,90.0231"
https://www.airbnb.com/rooms/25166381?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=501596492&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3V-gVErOy_sHssV&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,https://www.airbnb.com/rooms/25166381,Home In Pabna ,Rajshahi Division,Pabna,24.00778,89.22223,"https://www.google.com/maps?q=24.00778,89.22223"
