listing_link,latitude,longitude
https://www.airbnb.com/rooms/603218124774350462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P39TLUu3A7g8_7h2&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.37341,88.60865
https://www.airbnb.com/rooms/1164978691333212167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-20&check_out=2024-06-25&source_impression_id=p3_1718223075_P38fKSuQG5h1S_Id&previous_page_section_name=1000&federated_search_id=1dde0793-7170-4daa-aba6-7797f10461d9,23.825791,90.433975
https://www.airbnb.com/rooms/52021994?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223077_P381qbdQ0f9uuxw3&previous_page_section_name=1000&federated_search_id=eac6027a-aa33-4d9f-98cd-018a39cc79ba,23.8206,90.4273
https://www.airbnb.com/rooms/1118487839533515530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223080_P3TPUl6xHlsXy2xc&previous_page_section_name=1000&federated_search_id=0b60a835-c366-40fe-aec4-b7d62d72504a,23.8225,90.4378
https://www.airbnb.com/rooms/567782816697470412?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223082_P3A8z_3hmfaVCmkt&previous_page_section_name=1000&federated_search_id=858706ca-a4df-4d14-9ab5-e915bac114d7,23.8206,90.4272
https://www.airbnb.com/rooms/39792659?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718223082_P3j3DPYLmRG1NbV2&previous_page_section_name=1000&federated_search_id=858706ca-a4df-4d14-9ab5-e915bac114d7,23.8206,90.4274
https://www.airbnb.com/rooms/605550386199563575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3Em4Fej4ByUYMw2&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.36601,88.5997
https://www.airbnb.com/rooms/603214978938637045?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3zJZWX3Tdn8Yr-f&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.37467,88.60665
https://www.airbnb.com/rooms/603235701717025119?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3IuFm3nIXslERxX&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.37452,88.60634
https://www.airbnb.com/rooms/605715130792009480?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3FmZARU4qhLg2ID&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.36668,88.60066
https://www.airbnb.com/rooms/605602506890588085?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3W7LVd5hG5pKtC9&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.36505,88.60101
https://www.airbnb.com/rooms/605590574258500386?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3nTdYyhj1pfbU8y&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.36499,88.59952
https://www.airbnb.com/rooms/603171735132050027?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3uERngBiLmpa0yx&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.37297,88.60794
https://www.airbnb.com/rooms/605706767941500122?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3AZ14FWw7y0H1NM&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.36539,88.59998
https://www.airbnb.com/rooms/597731689559030417?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3ay04HrLR5hzy8N&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.36733,88.5996
https://www.airbnb.com/rooms/37314497?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=851430647&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3FNr0RRbouyiwms&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.04627,88.42288
https://www.airbnb.com/rooms/605608491559817345?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3W0jUJhliEHXqeU&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.36636,88.59983
https://www.airbnb.com/rooms/605594658854597905?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P398UZNctazYK4tz&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.36509,88.60102
https://www.airbnb.com/rooms/603230481782533351?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3RCzaM3Ney_JYfg&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.37308,88.60784
https://www.airbnb.com/rooms/603197064875875731?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P31nzmK_lUaADLdO&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.37528,88.60789
https://www.airbnb.com/rooms/603174559575265549?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3FfsEcx_LOkZvqR&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.37477,88.60841
https://www.airbnb.com/rooms/603149565976596669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3NKrlB3_7rOxl4-&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.37488,88.6072
https://www.airbnb.com/rooms/603228343540758775?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P39B4aaDlGYJVAvC&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.37361,88.6066
https://www.airbnb.com/rooms/603220443205816598?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3j9WhOFV7jCTW0t&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.37333,88.6083
https://www.airbnb.com/rooms/605515832017993459?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3sHP6sW--2izOCY&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.365,88.60115
https://www.airbnb.com/rooms/603189127877293891?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3UDrSLboJYp_ed8&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.3745,88.60792
https://www.airbnb.com/rooms/597754587155637451?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3kTHVBjtzeCeQHE&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.36622,88.59952
https://www.airbnb.com/rooms/605582984377676320?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3XoQV8NwFP91Iss&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.36514,88.60089
https://www.airbnb.com/rooms/603182873085822568?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P30nnu5nmJPPHDKa&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.37524,88.60858
https://www.airbnb.com/rooms/605709221265163045?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P35sOCYiCsqKOgTT&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.3667,88.59952
https://www.airbnb.com/rooms/605701716049162902?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3xpet1MHLLgaPgD&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.36683,88.59983
https://www.airbnb.com/rooms/605587269183992801?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3Fhlb3KvQJ4-qKu&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,24.36679,88.59974
