listing_link,latitude,longitude,continent,continentCode,principalSubdivision,city,localityName,postcode,fips,country_name,country_isoAlpha2,country_isoAlpha3
https://www.airbnb.com/rooms/638711240460238783?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P3N50QxH2DN2OqXc&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.3092,89.5426,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638704491500443775?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P3atX7-k6XFJYwtB&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.3092,89.5427,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638706522261823289?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P39tPzVcEPqCSIKH&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.3091,89.5426,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638725583766791107?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P3wQ_tdwq7-twH_t&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.309,89.5425,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638729505098617775?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P30WByEU_WoQdBrZ&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.309,89.5427,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638702274145385636?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P3VPjG6H-qRtpZg_&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.3088,89.5426,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638689738643900580?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P3c_I9PgMBjjhqj4&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.3097,89.5427,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/735174287030099737?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1506611006&search_mode=regular_search&check_in=2024-06-19&check_out=2024-06-24&source_impression_id=p3_1718486042_P3cHgEf0y1C05f2z&previous_page_section_name=1000&federated_search_id=45ff52ff-3934-450d-9d3c-68a8d531aab2,24.7006,88.6778,Asia,AS,Rajshahi Division,Manda,Manda,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/1175214460949119039?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486053_P3E32cdDmPURrkdi&previous_page_section_name=1000&federated_search_id=4d836451-1752-4671-a38f-6474f1b114a1,24.8764,91.8566,Asia,AS,Sylhet Division,South Surma,South Surma,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/1145430286098826789?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486057_P3vRzL0F1eabk6zP&previous_page_section_name=1000&federated_search_id=e15639e4-d2c5-4b22-8636-d2d986e0d3fd,24.931307,91.866998,Asia,AS,Sylhet Division,Sylhet,Sylhet,,,Bangladesh,BD,BGD
